Event,Event Start Time,Event End Time
43,035 19:41:33.037898,035 19:41:33.087911
42.5,035 19:41:36.038003,035 19:41:36.088009
43,035 19:41:37.038029,035 19:41:37.088107
43.5,035 19:41:41.038256,035 19:41:41.088192
43,035 19:41:43.038339,035 19:41:43.088277
43.5,035 19:41:44.038304,035 19:41:44.088307
43,035 19:41:45.038337,035 19:41:45.088338
43.5,035 19:41:48.038454,035 19:41:48.088444
44,035 19:41:54.038719,035 19:41:54.088775
43.5,035 19:41:58.038893,035 19:41:58.088920
44,035 19:41:59.038851,035 19:41:59.088852
43.5,035 19:42:01.038987,035 19:42:01.089019
44,035 19:42:14.039406,035 19:42:14.089393
43.5,035 19:42:15.039430,035 19:42:15.089435
44,035 19:42:17.039557,035 19:42:17.089616
43,035 19:42:19.039636,035 19:42:19.089589
43.5,035 19:42:23.039717,035 19:42:23.089721
43,035 19:42:24.039818,035 19:42:24.089882
43.5,035 19:42:25.039881,035 19:42:25.089832
44,035 19:42:28.040006,035 19:42:28.090006
43.5,035 19:42:29.039982,035 19:42:29.089934
44,035 19:42:30.039966,035 19:42:30.089964
44.5,035 19:42:32.040138,035 19:42:32.090127
44,035 19:42:33.040072,035 19:42:33.090085
44.5,035 19:42:35.040156,035 19:42:35.090155
45,035 19:42:36.040288,035 19:42:36.090306
44.5,035 19:42:37.040229,035 19:42:37.090226
44,035 19:42:39.040292,035 19:42:39.090368
44.5,035 19:42:40.040401,035 19:42:40.090450
44,035 19:42:41.040376,035 19:42:41.090383
43.5,035 19:42:50.040711,035 19:42:50.090718
44,035 19:42:53.040824,035 19:42:53.090827
44.5,035 19:42:59.041114,035 19:42:59.091169
44,035 19:43:05.041270,035 19:43:05.091281
44.5,035 19:43:12.041532,035 19:43:12.091538
44,035 19:43:15.041644,035 19:43:15.091651
44.5,035 19:43:16.041701,035 19:43:16.091688
44,035 19:43:21.041857,035 19:43:21.091917
45,035 19:43:22.042016,035 19:43:22.092028
44.5,035 19:43:23.042002,035 19:43:23.092011
45,035 19:43:25.042032,035 19:43:25.092074
45.5,035 19:43:26.042099,035 19:43:26.092143
45,035 19:43:27.042108,035 19:43:27.092096
44.5,035 19:43:28.042136,035 19:43:28.092127
43.5,035 19:43:30.042242,035 19:43:30.092213
44,035 19:43:31.042248,035 19:43:31.092236
43.5,035 19:43:32.042273,035 19:43:32.092290
44,035 19:43:34.042364,035 19:43:34.092346
43.5,035 19:43:36.042429,035 19:43:36.092421
44,035 19:43:38.042490,035 19:43:38.092493
43.5,035 19:43:39.042533,035 19:43:39.092532
